4GTV藍光,#genre#
186 國會頻道2,http://xg.52sw.top:5000/litv/4gtv-4gtv085
199 TVBS綜藝台,http://xg.52sw.top:5000/litv/4gtv-live087
200 TVBS台劇台,http://xg.52sw.top:5000/litv/4gtv-live088
201 經典電影台,http://xg.52sw.top:5000/litv/4gtv-live021
202 經典卡通台,http://xg.52sw.top:5000/litv/4gtv-live022
203 兒童卡通台,http://xg.52sw.top:5000/litv/4gtv-live009
204 精選動漫台,http://xg.52sw.top:5000/litv/4gtv-live024
205 戲劇免費看 1台,http://xg.52sw.top:5000/litv/4gtv-live010
206 戲劇免費看 2台,http://xg.52sw.top:5000/litv/4gtv-live006
208 電影免費看 2台,http://xg.52sw.top:5000/litv/4gtv-live005
209 超人力霸王整套看,http://xg.52sw.top:5000/litv/4gtv-live015
210 花系列 經典劇場,http://xg.52sw.top:5000/litv/4gtv-live016
